sku,fnsku,asin,product-name,condition,your-price,mfn-listing-exists,mfn-fulfillable-quantity,afn-listing-exists,afn-warehouse-quantity,afn-fulfillable-quantity,afn-unsellable-quantity,afn-reserved-quantity,afn-total-quantity,per-unit-volume,afn-inbound-working-quantity,afn-inbound-shipped-quantity,afn-inbound-receiving-quantity,afn-researching-quantity,afn-reserved-future-supply,afn-future-supply-buyable,afn-fulfillable-quantity-local,afn-fulfillable-quantity-remote,store,report_date
ACH10441PAN,B0GJZZRMJF,B0GJZZRMJF,"Spigen Essential 15W MagSafe Ladegerät [inkl. 60W USB-C Kabel] Magnetische Kabellose Ladestation für iPhone 17 16 15 14 Pro Max 17e & MagSafe Hüllen für Galaxy S26 S25, Pixel 10a 10 9 Pro XL - Schwarz",New,19.99,No,,Yes,297,240,1,56,598,1418.96,0,300,1,0,0,110,240,0,,20260319
ACS07086PAN,B0CHGKS7HG,B0CHGKS7HG,Spigen Rugged Armor Hülle Kompatibel mit Sony WF-1000XM5 (2023) - Matt Schwarz,New,18.99,No,,Yes,150,140,0,10,180,259.9,0,30,0,0,0,0,140,0,,20260313
AMP04528PAN,B09Y8QSHSS,B09Y8QSHSS,"Spigen Wasserdichte Handyhülle [Aqua Shield] [2 Stick] IPX8 wasserfeste Handytasche unterwasser Hülle kompatibel mit iPhone 16/15/14/13 Serien, Galaxy S25/S24/S23 und Allen Smartphones - Crystal Clear",New,18.99,No,,Yes,38,38,0,0,38,2007.09,0,0,0,0,0,0,38,0,,20260301
ACS04390PAN,B09QBBM542,B09QBBM542,Spigen Tag Armor Duo Hülle Case kompatibel mit AirPods Pro und AirTag - Metal Slate,New,23.99,No,,Yes,0,0,0,0,0,272.35,0,0,0,0,0,0,0,0,,20260323
ACS11030PAN,B0FVBFT41L,B0FVBFT41L,Spigen Ultra Hybrid für Samsung Galaxy S26 Ultra Hülle [Anti Vergilbung] Ultra Hybrid Case Handyhülle Transparent Schutzhülle Slim Dünn –Crystal Clear,New,16.99,No,,Yes,2997,2793,4,200,5105,374.28,0,2100,8,0,0,0,2793,0,,20260321
ACS10082PAN,B0FD2K58MF,B0FD2K58MF,Spigen iPhone 17 Hülle [Spigen Signature] Ultra Hybrid MagFit [Dura Clear Tech] Case Handyhülle Transparent Kompatibel mit MagSafe -Clear White,New,19.99,No,,Yes,2984,2089,7,888,3054,253.34,0,70,0,0,0,0,2089,0,,20260306
AGL07908EUPA,X002BGNUKL,B0D84JFDCS,"Spigen Glas.tR EZ Fit Sichtschutz Schutzfolie kompatibel mit iPhone 17 Pro Max, iPhone 16 Pro Max, 2 Stück, Privacy Schutz, inklusive Installationskit, Kratzfest, 9H Härte Folie",New,23.99,No,,Yes,2024,1917,8,97,2114,427.87,0,0,90,2,0,0,1917,0,,20260310
ACS10958PAN,B0FVBMVTRH,B0FVBMVTRH,Spigen Ultra Hybrid MagFit für Samsung Galaxy S26 Ultra Hülle [Anti Vergilbung] Case Handyhülle Transparent Kompatibel mit MagSafe -Clear White,New,22.99,No,,Yes,6142,1172,0,4968,6151,378.05,0,9,0,2,0,2200,1172,0,,20260313
AGL05761EUPE,B0BGYTK4N9,B0BGYTK4N9,"Spigen Glas.tR Optik Kameraschutz kompatibel mit iPhone 14 Pro, iPhone 14 Pro Max, 2 Stück, Kristallklar, Hüllenfreundlich, Anti-Kratzer, 9H Härte Folie",New,15.99,Yes,0.0,No,0,0,0,0,0,239.25,0,0,0,0,0,0,0,0,,20260307
amzn.gr.AMP10402PAN-9lO59ccBixa7Wt7e2-VG,X002IFUFU3,B0FJZQZGBZ,"Spigen Slim Fold Laptop Ständer Höhenverstellbar [2 Stück] Selbstklebender Laptopständer, Doppelt Verstellbarer Ergonomischer Winkel, Kompatibel mit MacBook Pro, MacBook Air 11–16"" und mehr – Schwarz",UsedVeryGood,14.44,No,,Yes,1,1,0,0,1,102.58,0,0,0,0,0,0,1,0,,20260303
