date,attributedSalesSameSku1d,campaignBiddingStrategy,unitsSoldClicks1d,attributedSalesSameSku7d,topOfSearchImpressionShare,attributedSalesSameSku14d,royaltyQualifiedBorrows,sales1d,sales7d,addToList,campaignRuleBasedBudgetAmount,attributedSalesSameSku30d,kindleEditionNormalizedPagesRoyalties14d,purchasesSameSku14d,spend,purchasesSameSku1d,campaignBudgetType,unitsSoldSameSku1d,campaignStatus,purchases1d,purchasesSameSku7d,unitsSoldSameSku7d,campaignBudgetAmount,purchases7d,unitsSoldSameSku30d,cost,costPerClick,unitsSoldClicks14d,campaignId,sales14d,clickThroughRate,sales30d,impressions,kindleEditionNormalizedPagesRead14d,campaignApplicableBudgetRuleName,purchasesSameSku30d,purchases14d,unitsSoldClicks30d,qualifiedBorrows,campaignBudgetCurrencyCode,purchases30d,campaignApplicableBudgetRuleId,clicks,campaignName,unitsSoldSameSku14d,unitsSoldClicks7d
2026-03-06,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,10.0,0,0,0.0,0.0,0,76063339654228,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_20_08_01_pe2103_yhjung_202201,0,0
2026-03-09,0.0,optimizeForSales,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,15.0,0,0,0.0,0.0,0,277255173210651,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_20_08_01_SP_auto_C2000_yhjung_0914,0,0
2026-03-11,0.0,optimizeForSales,0,0.0,0.84,0.0,0,0.0,0.0,0,,0.0,0,0,11.4,0,DAILY_BUDGET,0,ENABLED,0,0,0,30.0,0,0,11.4,1.43,0,320872631938041,0.0,0.3504161191414805,0.0,2283,0,,0,0,0,0,EUR,0,,8,12_11_08_01_EE451EU_SP(Manual Exact)_Subin_260223,0,0
2026-03-01,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,20.0,0,0,0.0,0.0,0,232542485521683,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_11_01_26_redmi note 10 4g_RA_Manual_Kate_0627,0,0
2026-03-31,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,20.0,0,0,0.0,0.0,0,110332988183436,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_20_08_01_SP_F316W_wireless charger_exact_jsmun_0622,0,0
2026-03-15,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,50.0,0,0,0.0,0.0,0,194641908039253,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,22_15_06_00_A1100(DE)1016_lcho,0,0
2026-03-05,0.0,optimizeForSales,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,PAUSED,0,0,0,60.0,0,0,0.0,0.0,0,507826746500063,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,13_14_00_00_LD201-S4_SP_Jihye_0114,0,0
2026-03-18,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,15.0,0,0,0.0,0.0,0,126409995185885,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,22_20_06_01_SP_F316W_wireless charger_exact_jsmun_0525,0,0
2026-03-03,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,15.0,0,0,0.0,0.0,0,274955503221738,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_20_08_01_SP_Exact_F31QC_yhjung-1005,0,0
2026-03-28,0.0,legacy,0,0.0,,0.0,0,0.0,0.0,0,,0.0,0,0,0.0,0,DAILY_BUDGET,0,ENABLED,0,0,0,15.0,0,0,0.0,0.0,0,208725669537873,0.0,,0.0,0,0,,0,0,0,0,EUR,0,,0,12_20_08_01_SP_F309W_qi ladestation_phrase_jsmun_0706,0,0
