date,newToBrandSalesClicks,viewabilityRate,purchasesClicks,detailPageViews,newToBrandSalesPercentage,unitsSold,sales,qualifiedBorrowsFromClicks,addToListFromClicks,costType,campaignStatus,viewClickThroughRate,campaignBudgetAmount,royaltyQualifiedBorrowsFromClicks,purchasesPromoted,newToBrandDetailPageViewRate,purchases,campaignId,newToBrandPurchasesPercentage,qualifiedBorrows,salesPromoted,campaignBudgetCurrencyCode,videoCompleteViews,salesClicks,videoFirstQuartileViews,newToBrandPurchasesRate,unitsSoldClicks,brandedSearches,video5SecondViews,topOfSearchImpressionShare,royaltyQualifiedBorrows,newToBrandECPDetailPageView,newToBrandPurchases,brandedSearchesClicks,addToList,newToBrandSales,newToBrandPurchasesClicks,campaignBudgetType,addToCartClicks,videoUnmutes,addToCart,videoThirdQuartileViews,addToCartRate,cost,newToBrandDetailPageViewsClicks,impressions,newToBrandUnitsSold,viewableImpressions,detailPageViewsClicks,eCPAddToCart,newToBrandDetailPageViews,clicks,videoMidpointViews,video5SecondViewRate,newToBrandUnitsSoldClicks,newToBrandUnitsSoldPercentage,campaignName
2026-03-03,0.0,0.0,0,0,0.0,0,0.0,0,0,CPC,ENABLED,0.0,30.0,0,0,0.0,0,533634750431703,0.0,0,0.0,EUR,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,DAILY_BUDGET,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,12_13_11_01_Spigen Audio_SB_subin_250828
2026-03-06,0.0,0.0,0,0,0.0,0,0.0,0,0,VCPM,PAUSED,0.0,20.0,0,0,0.0,0,317239848375509,0.0,0,0.0,EUR,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,DAILY_BUDGET,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,12_11_01_23_B_Galaxy A17 5G_SB
2026-03-23,0.0,0.0,0,0,0.0,0,0.0,0,0,VCPM,PAUSED,0.0,100.0,0,0,0.0,0,505891381327753,0.0,0,0.0,EUR,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,DAILY_BUDGET,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,12_14_00_00_A_iPhone 17 Pro_SB_Video
2026-03-07,0.0,0.0,0,0,0.0,0,0.0,0,0,CPC,PAUSED,0.0,30.0,0,0,0.0,0,335422799695709,0.0,0,0.0,EUR,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,DAILY_BUDGET,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,12_15_04_03_DE_iPhone 17 Optik Pro Black (2P)_Video SPN_250909_yeseo
2026-03-03,0.0,0.0,0,0,0.0,0,0.0,0,0,CPC,PAUSED,0.0,30.0,0,0,0.0,0,398373886234645,0.0,0,0.0,EUR,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,DAILY_BUDGET,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,12_26_08_01_EE673EU Black_SB(Main)_Subin_250909
2026-03-15,0.0,0.0,0,0,0.0,0,0.0,0,0,FIXED_PRICE,ENABLED,0.0,1022.0,0,0,0.0,0,539087830949352,0.0,0,0.0,EUR,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,LIFETIME_BUDGET,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,Campaign: 12_14_00_00_Power(SB)_Reserve share of voice_Subin_251121
2026-03-28,0.0,0.0,0,0,0.0,0,0.0,0,0,CPC,PAUSED,0.0,40.0,0,0,0.0,0,297342718689182,0.0,0,0.0,EUR,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,DAILY_BUDGET,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,12_27_21_01_Awareness(SB)_EF302MOQ_Subin_251118
2026-03-01,83.49,43.47,6,326,61.97,6,134.73,0,5,CPC,ENABLED,4.11,50.0,0,4,40.816326530612244,6,451670035029156,66.67,0,94.08,EUR,0,134.73,0,11.43,6,69,0,32.93,0,4.78,4,69,5,83.49,4,DAILY_BUDGET,17,0,17,0,86.73469387755102,38.26,8,1960,4,852,326,2.25,8,35,0,0.0,4,66.67,12_13_15_01_Samsung Wallet_SB_AMC_chaeeun_260226
2026-03-04,0.0,0.0,0,0,0.0,0,0.0,0,0,CPC,PAUSED,0.0,60.0,0,0,0.0,0,526562125776211,0.0,0,0.0,EUR,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,DAILY_BUDGET,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,12_11_01_23_B_Galaxy A56 5G_SB_250305
2026-03-18,0.0,0.0,0,0,0.0,0,0.0,0,0,CPC,PAUSED,0.0,20.0,0,0,0.0,0,376035943613246,0.0,0,0.0,EUR,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,DAILY_BUDGET,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,12_15_04_03_DE_iPhone Air EZ Fit Glas.tR Slim (2P)_Video SPN_250909_yeseo
2026-03-06,0.0,0.0,0,0,0.0,0,0.0,0,0,VCPM,PAUSED,0.0,10.0,0,0,0.0,0,554442857069735,0.0,0,0.0,EUR,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,DAILY_BUDGET,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,12_14_00_00_A_iPhone 17_SB_Video
2026-03-15,0.0,0.0,0,0,0.0,0,0.0,0,0,VCPM,PAUSED,0.0,25.0,0,0,0.0,0,397637258075589,0.0,0,0.0,EUR,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,DAILY_BUDGET,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,12_11_01_09_A_Pixel 9 Pro/9_HLS_251122
2026-03-22,43.68,57.88,2,221,77.61,3,56.28,0,1,VCPM,ENABLED,1.19,50.0,0,1,42.91845493562232,3,336420664946952,66.67,0,12.6,EUR,0,43.68,0,8.33,2,26,0,25.06,0,3.23,2,0,1,43.68,2,DAILY_BUDGET,4,0,12,0,34.33476394849785,48.51,10,3495,2,2023,59,4.04,15,24,0,0.0,2,100.0,12_11_01_03_A_iPhone 16 Series_SB_Exact
