item-name,item-description,listing-id,seller-sku,price,quantity,open-date,image-url,item-is-marketplace,product-id-type,zshop-shipping-fee,item-note,item-condition,zshop-category1,zshop-browse-path,zshop-storefront-feature,asin1,asin2,asin3,will-ship-internationally,expedited-shipping,zshop-boldface,product-id,bid-for-featured-placement,add-delete,pending-quantity,fulfillment-channel,merchant-shipping-group,status,Minimum order quantity,Sell remainder
Spigen Liquid Air Kompatibel mit iPhone 12 Pro Hülle und Kompatibel mit iPhone 12 Silikon Handyhülle -Schwarz,,0506YHNQOXL,ACS01701PAN,14.99,,06/05/2021 03:26:03 MEST,,y,4,,,11.0,,,,B08BGCRLCD,,,,,,8809710756496,,,,AMAZON_EU,Standardvorlage Amazon,Active,,False
Spigen Style Ring Handy Ring Phone Griff/Ständer/Halter für alle Handys und Tablets - Space Grey,"Schnappen Sie sich Ihr Smartphone mit dem Style Ring von Spigen. Tragen Sie es einfach am Finger, nachdem Sie es an Ihrem Telefon oder Etui befestigt haben, um die Gefahr des Herunterfallens Ihres Telefons zu verringern. Seine vielseitigen Eigenschaften dienen auch als Ständer für bequemes Ein- und Aussteigen.",0408Q1XVMBQ,000EP20243DEP,18.99,,08/04/2016 14:19:12 MEST,,y,4,,,11.0,,,,B01CKB4WTQ,,,,,,8809466643965,,,,AMAZON_EU,Standardvorlage Amazon,Inactive,,
"Spigen Rugged Armor Hülle Kompatibel mit iPhone SE, iPhone 5s und iPhone 5 -Schwarz","Entwickelt für das Rund-um Schutz des Handys, sodass alle Anschlüsse und Buttons bestens zu erreichen sind; Die Air Cushion Technologie ist in den meisten Hüllen integriert speziell für den Eckschutz; Der erhöhte Rand rund um das Display und Kamera schützt diese vor Kratzer und Brüchen",0420XXBV8X2,041CS20167PAN,14.99,,20/04/2020 09:11:12 MEST,,y,4,,,11.0,,,,B01BEDNUDK,,,,,,8809466643460,,,,AMAZON_EU,Standardvorlage Amazon,Active,,False
Spigen Liquid Air Hülle Kompatibel mit Samsung Galaxy S23 Ultra 5G -Schwarz,"Entwickelt für das Rund-um Schutz des Handys, sodass alle Anschlüsse und Buttons bestens zu erreichen sind; Die Air Cushion Technologie ist in den meisten Hüllen integriert speziell für den Eckschutz; Der erhöhte Rand rund um das Display und Kamera schützt diese vor Kratzer und Brüchen",0201AGP9R0U,ACS05614PAN,15.99,,01/02/2023 09:55:03 MET,,y,4,,,11.0,,,,B0BJSB91LK,,,,,,8809896740210,,,,AMAZON_EU,Standardvorlage Amazon,Active,,
Spigen AirSkin Pro Hülle Kompatibel mit iPad Air 8. M4 (2026) / 7. M3 (2025) / 6. M2 (2024) / 5. (2022) / 4. Generation (2020) 11 Zoll und 10.9 Zoll Case mit abnehmbarem magnetischem Deckel - Schwarz,,0710B4NYU5H,amzn.gr.ACS07758PAN-13rxvZmNYJG0NrqkO-VG,31.44,,10/07/2024 15:00:02 MEST,,y,1,,,2.0,,,,B0CW2DTGQL,,,,,,B0CW2DTGQL,,,,AMAZON_EU,Standardvorlage Amazon,Inactive,,
Spigen Urban Fit Kompatibel mit iPad Pro 12.9 Zoll Schutzhülle Case mit Stifthalter/mit Automatischem Schlaf/Aufwach (2020/2018) - Schwarz,"Spigen ist gegründet im Jahr 2008 und seitdem sind unsere Produkte weltweit erhältlich. Was macht unser Produkt einzigartig? Slim Protection. Pünktliche Verfügbarkeit. Große Auswahl an Geräten. Erstklassige Qualität. Unser Ziel ist es, der Branchenführer für mobiles Zubehör zu sein. Unser Ziel ist es, die besten Standards für unsere Produkte zu setzen und gleichzeitig kontinuierlich an der Produktentwicklung zu arbeiten.",0226XFQZ3MM,ACS01057DEP,53.99,,26/02/2020 19:47:57 MET,,y,4,,,11.0,,,,B0855LW1T8,,,,,,8809685629948,,,,AMAZON_EU,Standardvorlage Amazon,Inactive,,
Spigen Liquid Crystal Hülle Kompatibel mit Samsung Galaxy A36 5G -Crystal Clear,"Entwickelt für das Rund-um Schutz des Handys, sodass alle Anschlüsse und Buttons bestens zu erreichen sind; Die Air Cushion Technologie ist in den meisten Hüllen integriert speziell für den Eckschutz; Der erhöhte Rand rund um das Display und Kamera schützt diese vor Kratzer und Brüchen",1129BO2HUIP,ACS09167PAN,13.99,,29/11/2024 07:41:32 MET,,y,4,,,11.0,,,,B0DKR8DY9W,,,,,,8809971239974,,,,AMAZON_EU,Standardvorlage Amazon,Active,,
Spigen Tough Armor Kompatibel mit iPad 9.7 Hülle (2018/2017) - Metal Slate,"Die Spigen Tough Armor Hülle ist speziell zum Schutz des iPad 9.7"" bestimmt. Die Form der Schutzhülle ist für das Gerät maßgeschneidert und alle Anschlüsse und die zum Teil integrierten Buttons sind bestens zu erreichen und leicht zu bedienen. Der Kamera-Ausschnitt schützt das Objektiv und stört dabei nicht bei Aufnahmen mit dem Gerät. Zusätzlich schützt ein umlaufender Rand das Display, wenn das Gerät auf einer flachen Ebene liegt. Durch den hochwertigen Material-Mix (stoßabweisendes TPU-Innenteil + festes Polykarbonat Außenteil) wird das Gerät vor Stößen und Beschädigungen geschützt. Die spezielle Luftkissen-Technologie federt zusätzlich Stöße ab und schützt das Gerät optimal. Das Tough Armor Case ist das stärkste und robusteste Case von Spigen.",0828VTC4B6T,ACS00304DEP,16.99,,29/08/2019 00:22:24 MEST,,y,4,,,11.0,,,,B07X21367G,,,,,,8809685621089,,,,AMAZON_EU,Standardvorlage Amazon,Inactive,,
Spigen Samsung Galaxy A51 Liquid Air Variation,,1220VDABQZL,ACS00601V,,0.0,20/12/2019 06:27:55 MET,,y,1,,,11.0,,,,B082XT1YR7,,,,,,B082XT1YR7,,,0.0,DEFAULT,Standardvorlage Amazon,Incomplete,,
"Spigen Glas.tR EZ Fit Schutzfolie kompatibel mit Samsung Galaxy Watch 6 44mm, 2 Stück, Kratzfest, 9H Härte Folie",,0726AJC5J0Q,AGL06520PAN,15.99,,26/07/2023 13:10:27 MEST,,y,4,,,11.0,,,,B0C4R3JBC8,,,,,,8809896748735,,,,AMAZON_EU,Standardvorlage Amazon,Active,,False
